Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_111415_266556004,72.71702576,-0.431043,-0.250024,-7,0,0,0,0,1,0:00:01
20200722_111415_266572670,72.74014282,-0.502102,-0.230855,-8,0,0,0,0,1,0:00:01
20200722_111415_266622668,72.75097656,-0.51542,-0.221482,-9,0,0,0,0,1,0:00:01
20200722_111415_266656000,72.77984619,-0.525348,-0.192962,-11,0,0,0,0,1,0:00:01
20200722_111415_266672666,72.79707336,-0.432086,-0.175726,-11,0,0,0,0,1,0:00:01
20200722_111415_266689332,72.80531311,-0.372132,-0.167921,-11,0,0,0,0,1,0:00:01
20200722_111415_266722664,72.81318665,-0.331306,-0.160265,-11,0,0,0,0,1,0:00:01
20200722_111415_266755996,72.82745361,-0.247203,-0.145524,-11,0,0,0,0,1,0:00:01
20200722_111415_266789328,72.83988953,-0.172044,-0.131173,-11,0,0,0,0,1,0:00:01
20200722_111415_266822660,72.85076141,-0.071772,-0.118183,-11,0,0,0,0,1,0:00:01
20200722_111415_266839326,72.86011505,-0.029069,-0.105079,-12,0,0,0,0,1,0:00:01
20200722_111415_266872658,72.86420441,-0.033859,-0.098144,-12,0,0,0,0,1,0:00:01
20200722_111415_266889324,72.87130737,-0.040779,-0.084536,-12,0,0,0,0,1,0:00:01
20200722_111415_266922656,72.8743515,-0.031205,-0.078162,-12,0,0,0,0,1,0:00:01
20200722_111415_266955988,72.87944794,-0.025986,-0.065927,-12,0,0,0,0,1,0:00:01
20200722_111415_266989320,72.88324738,-0.032674,-0.05414,-12,0,0,0,0,1,0:00:01
20200722_111415_267022652,72.88591766,-0.020909,-0.042993,-12,0,0,0,0,1,0:00:01
20200722_111415_267055984,72.88738251,5.30E-05,-0.032395,-12,0,0,0,0,1,0:00:01
20200722_111415_267089316,72.88768768,0.016296,-0.022221,-11,2,0,0,0,1,0:00:01
20200722_111415_267105982,72.88729858,0.037152,-0.013088,-11,4,0,0,0,1,0:00:01
20200722_111415_267139314,72.8868866,0.042806,-0.008968,-11,5,0,0,0,1,0:00:01
20200722_111415_267172646,72.88596344,0.061328,-0.002113,-11,8,0,0,0,1,0:00:01
20200722_111415_267189312,72.88527679,0.067161,0.002522,-11,12,0,0,0,1,0:00:01
20200722_111416_267222644,72.88518524,0.065987,0.003667,-11,13,0,0,0,1,0:00:02
20200722_111416_267255976,72.88561249,0.06015,0.003461,-11,16,0,0,0,1,0:00:02
20200722_111416_267305974,72.8871994,0.037735,0.000176,-11,18,0,0,0,1,0:00:02
20200722_111416_267355972,72.8923645,0.006502,-0.010662,-11,20,0,0,0,1,0:00:02
20200722_111416_267372638,72.90120697,-0.020698,-0.026696,-11,20,0,0,0,1,0:00:02
20200722_111416_267422636,72.90493011,-0.023708,-0.032738,-11,20,0,0,0,1,0:00:02
20200722_111416_267472634,72.91833496,-0.020856,-0.051896,-11,20,0,0,0,1,0:00:02
20200722_111416_267489300,72.93489838,-0.013958,-0.070894,-11,20,0,0,0,1,0:00:02
20200722_111416_267539298,72.94113159,-0.011867,-0.077006,-11,20,0,0,0,1,0:00:02
20200722_111416_267572630,72.96168518,-0.002132,-0.094596,-11,20,0,0,0,1,0:00:02
20200722_111416_267589296,72.97690582,-0.003096,-0.105617,-11,20,0,0,0,1,0:00:02
20200722_111416_267622628,72.98493958,-0.000261,-0.111008,-11,20,0,0,0,1,0:00:02
20200722_111416_267655960,73.00187683,0.001389,-0.121411,-11,20,0,0,0,1,0:00:02
20200722_111416_267672626,73.0198288,-0.007442,-0.131161,-11,20,0,0,0,1,0:00:02
20200722_111416_267705958,73.02922821,-0.009558,-0.135934,-11,20,0,0,0,1,0:00:02
20200722_111416_267739290,73.04878235,-0.016637,-0.145158,-11,20,0,0,0,1,0:00:02
20200722_111416_267772622,73.06923676,-0.03185,-0.15389,-12,20,0,0,0,1,0:00:02
20200722_111416_267805954,73.09065247,-0.042436,-0.162302,-12,20,0,0,0,1,0:00:02
20200722_111416_267839286,73.11306763,-0.042677,-0.170576,-12,20,0,0,0,1,0:00:02
20200722_111416_267872618,73.13642883,-0.036575,-0.178668,-12,20,0,0,0,1,0:00:02
20200722_111416_267889284,73.16059875,-0.030061,-0.18637,-12,20,0,0,0,1,0:00:02
