Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200720_142805_310604242,64.6869812,-0.266388,0.134278,-3,0,0,0,0,3,0:00:07
20200720_142805_310654240,64.67822266,-0.32858,0.136223,-3,0,0,0,0,3,0:00:07
20200720_142805_310670906,64.65085602,-0.51135,0.142781,-7,0,0,0,0,3,0:00:07
20200720_142805_310704238,64.64143372,-0.578243,0.145173,-8,0,0,0,0,3,0:00:07
20200720_142805_310737570,64.62210083,-0.680183,0.150083,-10,0,0,0,0,3,0:00:07
20200720_142805_310770902,64.60294342,-0.771325,0.15426,-12,0,0,0,0,3,0:00:07
20200720_142805_310787568,64.58388519,-0.755974,0.157236,-13,0,0,0,0,3,0:00:07
20200720_142805_310804234,64.57454681,-0.733523,0.158037,-15,0,0,0,0,3,0:00:07
20200720_142805_310854232,64.56465912,-0.725622,0.159399,-16,0,0,0,0,3,0:00:07
20200720_142805_310870898,64.53379059,-0.66198,0.163633,-19,0,0,0,0,3,0:00:07
20200720_142805_310920896,64.52322388,-0.620147,0.1648,-19,0,0,0,0,3,0:00:07
20200720_142805_310970894,64.49010468,-0.652479,0.171908,-23,0,0,0,0,3,0:00:07
20200720_142805_310987560,64.45345306,-0.824065,0.185343,-28,0,0,0,0,3,0:00:07
20200720_142805_311020892,64.44111633,-0.86688,0.189475,-29,0,0,0,0,3,0:00:07
20200720_142805_311054224,64.41629791,-0.916405,0.195827,-33,0,0,0,0,3,0:00:07
20200720_142805_311104222,64.39078522,-0.993614,0.203197,-35,0,0,0,0,3,0:00:07
20200720_142805_311120888,64.35443878,-0.974748,0.207328,-39,0,0,0,0,3,0:00:07
20200720_142805_311154220,64.34283447,-0.912413,0.205257,-42,0,0,0,0,3,0:00:07
20200720_142805_311170886,64.31800842,-0.849256,0.205188,-44,0,0,0,0,3,0:00:07
20200720_142805_311220884,64.30567169,-0.837732,0.20623,-47,0,0,0,0,3,0:00:07
20200720_142805_311237550,64.26405334,-0.750526,0.211231,-52,0,0,0,0,3,0:00:07
20200720_142805_311270882,64.24980927,-0.737818,0.215111,-54,0,0,0,0,3,0:00:07
20200720_142805_311304214,64.22028351,-0.694517,0.223603,-56,0,0,0,0,3,0:00:07
20200720_142805_311320880,64.19050598,-0.655384,0.233021,-59,0,0,0,0,3,0:00:07
20200720_142805_311354212,64.17541504,-0.635718,0.237668,-60,0,0,0,0,3,0:00:07
20200720_142805_311404210,64.14476013,-0.57384,0.245244,-63,0,0,0,0,3,0:00:07
20200720_142806_311437542,64.09703827,-0.453734,0.254629,-66,0,0,0,0,3,0:00:08
20200720_142806_311454208,64.06484985,-0.355228,0.259069,-68,0,0,0,0,3,0:00:08
20200720_142806_311487540,64.04824829,-0.307515,0.262846,-70,0,0,0,0,3,0:00:08
20200720_142806_311504206,64.01338959,-0.185987,0.270045,-73,0,0,0,0,3,0:00:08
20200720_142806_311537538,63.99490738,-0.134783,0.276248,-75,0,0,0,0,3,0:00:08
20200720_142806_311554204,63.95606232,-0.01947,0.288058,-77,0,0,0,0,3,0:00:08
20200720_142806_311604202,63.9356842,0.029252,0.296092,-79,0,0,0,0,3,0:00:08
20200720_142806_311620868,63.87039566,0.160523,0.324097,-82,0,0,0,0,3,0:00:08
20200720_142806_311654200,63.84751129,0.196916,0.334569,-83,0,0,0,0,3,0:00:08
20200720_142806_311687532,63.7992897,0.26757,0.356851,-85,0,0,0,0,3,0:00:08
20200720_142806_311720864,63.7433815,0.347504,0.386882,-87,0,0,0,0,3,0:00:08
20200720_142806_311754196,63.69051743,0.428216,0.408627,-89,0,0,0,0,3,0:00:08
20200720_142806_311787528,63.63455582,0.50677,0.430589,-90,0,0,0,0,3,0:00:08
20200720_142806_311804194,63.57558441,0.586874,0.453226,-93,0,0,0,0,3,0:00:08
20200720_142806_311837526,63.5442276,0.618491,0.46601,-93,0,0,0,0,3,0:00:08
20200720_142806_311870858,63.47817993,0.679278,0.484344,-97,0,0,0,0,3,0:00:08
20200720_142806_311904190,63.40713882,0.723228,0.517224,-98,0,0,0,0,3,0:00:08
20200720_142806_311920856,63.33131027,0.756667,0.55261,-101,0,0,0,0,3,0:00:08
20200720_142806_311954188,63.29157639,0.774497,0.571654,-102,0,0,0,0,3,0:00:08
20200720_142806_311987520,63.20735168,0.798417,0.613747,-105,0,0,0,0,3,0:00:08
20200720_142806_312020852,63.11668015,0.822255,0.659274,-108,0,0,0,0,3,0:00:08
20200720_142806_312054184,63.01981354,0.851182,0.705635,-111,0,0,0,0,3,0:00:08
20200720_142806_312070850,62.91657639,0.88753,0.755866,-113,0,0,0,0,3,0:00:08
20200720_142806_312104182,62.86296463,0.907549,0.780609,-116,0,0,0,0,3,0:00:08
20200720_142806_312137514,62.74865341,0.938766,0.836241,-118,0,0,0,0,3,0:00:08
20200720_142806_312187512,62.62893677,0.985125,0.890042,-121,0,0,0,0,3,0:00:08
20200720_142806_312204178,62.43444443,1.050833,0.975658,-123,0,0,0,0,3,0:00:08
20200720_142806_312237510,62.3664856,1.073541,1.004007,-125,0,0,0,0,3,0:00:08
20200720_142806_312254176,62.22426224,1.10933,1.064548,-127,0,0,0,0,3,0:00:08
20200720_142806_312287508,62.15023422,1.129113,1.093709,-127,0,0,0,0,3,0:00:08
20200720_142806_312320840,61.99695969,1.1616,1.154148,-130,0,0,0,0,3,0:00:08
20200720_142806_312354172,61.83592224,1.188239,1.216062,-131,0,0,0,0,3,0:00:08
20200720_142807_312387504,61.66875839,1.215821,1.276192,-132,0,0,0,0,3,0:00:09
20200720_142807_312404170,61.49347687,1.236795,1.337764,-133,0,0,0,0,3,0:00:09
20200720_142807_312437502,61.40327835,1.246221,1.368355,-134,0,0,0,0,3,0:00:09
20200720_142807_312470834,61.21509171,1.255664,1.432662,-138,0,0,0,0,3,0:00:09
20200720_142807_312504166,61.01733017,1.255259,1.499853,-141,0,0,0,0,3,0:00:09
20200720_142807_312537498,60.80899429,1.239086,1.573499,-143,0,0,0,0,3,0:00:09
20200720_142807_312570830,60.59105301,1.211222,1.651574,-145,0,0,0,0,3,0:00:09
20200720_142807_312620828,60.36433029,1.179998,1.731651,-147,0,0,0,0,3,0:00:09
20200720_142807_312637494,60.00795364,1.142598,1.848809,-151,0,0,0,0,3,0:00:09
20200720_142807_312670826,59.88468933,1.131274,1.887812,-151,0,0,0,0,3,0:00:09
20200720_142807_312704158,59.63308716,1.119255,1.959924,-153,0,0,0,0,3,0:00:09
20200720_142807_312720824,59.37433243,1.113376,2.027951,-153,0,0,0,0,3,0:00:09
20200720_142807_312737490,59.24318314,1.113423,2.059263,-152,0,0,0,0,3,0:00:09
20200720_142807_312770822,59.11190414,1.116247,2.087462,-151,0,0,0,0,3,0:00:09
20200720_142807_312804154,58.85176849,1.13798,2.128502,-144,0,0,0,0,3,0:00:09
20200720_142807_312820820,58.60033035,1.183359,2.140679,-136,0,0,0,0,3,0:00:09
20200720_142807_312854152,58.47750473,1.20007,2.137429,-129,0,0,0,0,3,0:00:09
20200720_142807_312887484,58.24570465,1.249468,2.097842,-119,0,0,0,0,3,0:00:09
20200720_142807_312920816,58.02455902,1.269549,2.031121,-110,0,0,0,0,3,0:00:09
20200720_142807_312937482,57.81393051,1.252569,1.943661,-101,0,0,0,0,3,0:00:09
20200720_142807_312970814,57.71274567,1.217235,1.898444,-94,0,0,0,0,3,0:00:09
20200720_142807_313004146,57.52528381,1.127878,1.791815,-82,0,0,0,0,3,0:00:09
