Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200720_165148_3604633374,32,0.004113,-1.672754,4,33,0,1,0,5,0:00:04
20200720_165149_3604683372,32,0.00409,-1.678768,4,33,0,1,0,5,0:00:05
20200720_165149_3604700038,32,0.00405,-1.686494,4,33,0,1,0,5,0:00:05
20200720_165149_3604733370,32,0.004121,-1.688782,4,33,0,1,0,5,0:00:05
20200720_165149_3604750036,33,0.004155,-1.692782,4,34,0,1,0,5,0:00:05
20200720_165149_3604783368,33,0.004185,-1.694722,4,34,0,1,0,5,0:00:05
20200720_165149_3604816700,33,0.004301,-1.694596,4,34,0,1,0,5,0:00:05
20200720_165149_3604833366,33,0.004421,-1.677801,4,34,0,1,0,5,0:00:05
20200720_165149_3604850032,33,0.004447,-1.663324,4,34,0,1,0,5,0:00:05
20200720_165149_3604883364,33,0.004415,-1.645059,4,34,0,1,0,5,0:00:05
20200720_165149_3604933362,33,-0.002334,-1.598079,4,34,0,1,0,5,0:00:05
20200720_165149_3604950028,34,-0.017535,-1.502511,3,34,0,1,0,5,0:00:05
20200720_165149_3605000026,34,-0.026982,-1.468126,3,34,0,1,0,5,0:00:05
20200720_165149_3605016692,34,-0.110592,-1.372117,1,34,0,0,0,5,0:00:05
20200720_165149_3605050024,34,-0.131376,-1.342281,-2,34,0,0,0,5,0:00:05
20200720_165149_3605083356,34,-0.292651,-1.284046,-6,34,0,0,0,5,0:00:05
20200720_165149_3605116688,34,-0.473704,-1.228156,-8,34,0,0,0,5,0:00:05
20200720_165149_3605133354,34,-0.541239,-1.174092,-12,34,0,0,0,5,0:00:05
20200720_165149_3605183352,34,-0.591232,-1.14658,-14,34,0,0,0,5,0:00:05
20200720_165149_3605200018,35,-0.621549,-1.06771,-17,34,0,0,0,5,0:00:05
20200720_165149_3605250016,35,-0.595973,-1.041902,-18,34,0,0,0,5,0:00:05
20200720_165149_3605266682,35,-0.430708,-0.970196,-20,34,0,0,0,5,0:00:05
20200720_165149_3605300014,35,-0.399231,-0.948137,-21,34,0,0,0,5,0:00:05
20200720_165149_3605350012,35,-0.310016,-0.907829,-22,34,0,0,0,5,0:00:05
20200720_165149_3605366678,35,-0.255249,-0.849262,-22,34,0,0,0,5,0:00:05
20200720_165149_3605383344,35,-0.212095,-0.831477,-23,34,0,0,0,5,0:00:05
20200720_165149_3605416676,35,-0.169425,-0.813652,-23,34,0,1,0,5,0:00:05
20200720_165149_3605466674,35,-0.101531,-0.779204,-23,34,0,1,0,5,0:00:05
20200720_165149_3605500006,35,-0.082261,-0.727297,-23,34,0,1,0,5,0:00:05
20200720_165149_3605516672,36,-0.040388,-0.694949,-23,34,0,1,0,5,0:00:05
20200720_165149_3605550004,36,-0.025848,-0.679127,-23,34,0,1,0,5,0:00:05
20200720_165149_3605600002,36,-0.018915,-0.647632,-23,34,0,1,0,5,0:00:05
20200720_165149_3605616668,36,-0.018691,-0.601527,-23,34,0,1,0,5,0:00:05
20200720_165150_3605650000,36,-0.016958,-0.586512,-23,34,0,1,0,5,0:00:06
20200720_165150_3605666666,36,-0.016445,-0.557981,-23,34,0,1,0,5,0:00:06
20200720_165150_3605716664,36,-0.014698,-0.544242,-23,34,0,1,0,5,0:00:06
20200720_165150_3605749996,36,-0.009308,-0.505193,-23,34,0,1,0,5,0:00:06
20200720_165150_3605783328,36,-0.010503,-0.480833,-23,34,0,1,0,5,0:00:06
20200720_165150_3605799994,36,-0.010911,-0.458225,-23,34,0,1,0,5,0:00:06
20200720_165150_3605849992,36,-0.010503,-0.447266,-23,34,0,0,0,5,0:00:06
20200720_165150_3605883324,36,-0.00765,-0.43434,-23,34,0,0,0,5,0:00:06
20200720_165150_3605899990,36,-0.000516,-0.440903,-23,34,0,0,0,5,0:00:06
20200720_165150_3605933322,36,0.004883,-0.448605,-23,34,0,0,0,5,0:00:06
20200720_165150_3605966654,36,0.009774,-0.472278,-23,34,0,0,0,5,0:00:06
20200720_165150_3605983320,36,0.014024,-0.506561,-23,34,0,0,0,5,0:00:06
20200720_165150_3606033318,36,0.013051,-0.524288,-23,34,0,0,0,5,0:00:06
20200720_165150_3606066650,37,0.008498,-0.575583,-23,34,0,0,0,5,0:00:06
20200720_165150_3606083316,37,0.009949,-0.608274,-22,34,0,0,0,5,0:00:06
20200720_165150_3606116648,37,0.010987,-0.624085,-22,34,0,0,0,5,0:00:06
20200720_165150_3606133314,37,0.020402,-0.654933,-22,34,0,0,0,5,0:00:06
20200720_165150_3606183312,37,0.028581,-0.669977,-21,34,0,0,0,5,0:00:06
20200720_165150_3606216644,37,0.089298,-0.714325,-20,34,0,1,0,5,0:00:06
20200720_165150_3606233310,37,0.121441,-0.741832,-19,34,0,1,0,5,0:00:06
20200720_165150_3606249976,37,0.145306,-0.755228,-18,33,0,1,0,5,0:00:06
20200720_165150_3606299974,37,0.168596,-0.768337,-18,33,0,1,0,5,0:00:06
20200720_165150_3606333306,37,0.250056,-0.805641,-16,33,0,1,0,5,0:00:06
20200720_165150_3606366638,37,0.226391,-0.826745,-15,33,0,1,0,5,0:00:06
20200720_165150_3606383304,37,0.220948,-0.847093,-15,33,0,1,0,5,0:00:06
20200720_165150_3606433302,38,0.197614,-0.856558,-14,33,0,1,0,5,0:00:06
20200720_165150_3606466634,38,0.106715,-0.883,-14,33,0,1,0,5,0:00:06
20200720_165150_3606483300,38,0.026436,-0.898943,-14,33,0,1,0,5,0:00:06
20200720_165150_3606499966,38,0.016325,-0.907051,-14,33,0,1,0,5,0:00:06
20200720_165150_3606533298,38,0.001455,-0.915068,-14,33,0,1,0,5,0:00:06
20200720_165150_3606583296,38,-0.017686,-0.930324,-14,33,0,1,0,5,0:00:06
20200720_165150_3606616628,38,-0.006506,-0.95236,-14,33,0,0,0,5,0:00:06
20200720_165151_3606633294,38,0.006117,-0.966414,-14,33,0,0,0,5,0:00:07
20200720_165151_3606649960,38,0.013127,-0.973344,-14,33,0,0,0,5,0:00:07
20200720_165151_3606699958,38,0.02186,-0.980279,-14,33,0,0,0,5,0:00:07
20200720_165151_3606716624,39,0.037284,-0.999998,-13,33,0,0,0,5,0:00:07
20200720_165151_3606749956,39,0.039739,-1.006167,-13,33,0,0,0,5,0:00:07
20200720_165151_3606799954,39,0.04047,-1.017697,-13,33,0,0,0,5,0:00:07
20200720_165151_3606816620,39,0.027262,-1.03384,-13,33,0,0,0,5,0:00:07
20200720_165151_3606833286,39,0.020447,-1.038818,-13,33,0,0,0,5,0:00:07
20200720_165151_3606866618,39,0.01168,-1.043717,-13,33,0,0,0,5,0:00:07
20200720_165151_3606916616,39,0.012195,-1.053599,-13,33,0,0,0,5,0:00:07
20200720_165151_3606949948,39,0.012065,-1.068197,-12,33,0,0,0,5,0:00:07
20200720_165151_3606966614,40,0.022654,-1.077627,-12,33,0,0,0,5,0:00:07
20200720_165151_3607016612,40,0.025202,-1.082268,-12,33,0,1,0,5,0:00:07
20200720_165151_3607049944,40,0.052326,-1.096121,-12,33,0,1,0,5,0:00:07
20200720_165151_3607083276,40,0.055182,-1.104556,-11,33,0,1,0,5,0:00:07
20200720_165151_3607099942,40,0.054461,-1.112361,-11,33,0,1,0,5,0:00:07
20200720_165151_3607133274,40,0.052785,-1.116109,-11,33,0,1,0,5,0:00:07
20200720_165151_3607166606,40,0.054827,-1.123422,-11,33,0,1,0,5,0:00:07
20200720_165151_3607199938,40,0.057522,-1.130214,-10,33,0,1,0,5,0:00:07
20200720_165151_3607233270,41,0.073742,-1.136738,-9,33,0,1,0,5,0:00:07
20200720_165151_3607249936,41,0.131375,-1.143942,-7,33,0,1,0,5,0:00:07
20200720_165151_3607266602,41,0.171116,-1.147478,-7,33,0,1,0,5,0:00:07
20200720_165151_3607316600,41,0.210784,-1.150734,-5,33,0,1,0,5,0:00:07
20200720_165151_3607349932,41,0.398682,-1.159873,-2,33,0,1,0,5,0:00:07
20200720_165151_3607366598,41,0.475523,-1.164416,1,33,0,1,0,5,0:00:07
20200720_165151_3607416596,41,0.468621,-1.165692,2,33,0,0,0,5,0:00:07
20200720_165151_3607433262,42,0.557774,-1.167746,6,33,0,0,0,5,0:00:07
20200720_165151_3607483260,42,0.569332,-1.168404,7,33,0,0,0,5,0:00:07
20200720_165151_3607499926,42,0.416417,-1.170819,8,33,0,0,0,5,0:00:07
20200720_165151_3607516592,42,0.389823,-1.17221,8,33,0,0,0,5,0:00:07
20200720_165151_3607549924,42,0.331001,-1.174276,8,33,0,0,0,5,0:00:07
20200720_165151_3607599922,42,0.240625,-1.17831,8,32,0,0,0,5,0:00:07
20200720_165152_3607616588,42,0.048752,-1.182905,8,32,0,0,0,5,0:00:08
20200720_165152_3607649920,42,0.012742,-1.183981,8,32,0,0,0,5,0:00:08
20200720_165152_3607666586,43,0.01048,-1.185131,8,32,0,0,0,5,0:00:08
20200720_165152_3607683252,43,0.014874,-1.18532,8,32,0,0,0,5,0:00:08
20200720_165152_3607699918,43,0.024081,-1.185337,9,32,0,0,0,5,0:00:08
20200720_165152_3607749916,43,0.048622,-1.185326,9,32,0,0,0,5,0:00:08
20200720_165152_3607766582,43,0.14273,-1.185927,11,33,0,0,0,5,0:00:08
20200720_165152_3607816580,43,0.158709,-1.186333,11,33,0,1,0,5,0:00:08
20200720_165152_3607849912,43,0.175165,-1.186796,11,33,0,1,0,5,0:00:08
20200720_165152_3607883244,43,0.148623,-1.186802,11,33,0,1,0,5,0:00:08
20200720_165152_3607916576,44,0.079116,-1.188364,11,33,0,1,0,5,0:00:08
20200720_165152_3607949908,44,0.022613,-1.189503,11,33,0,1,0,5,0:00:08
20200720_165152_3607999906,44,-0.010567,-1.190865,11,33,0,1,0,5,0:00:08
20200720_165152_3608016572,44,-0.016507,-1.192953,11,33,0,1,0,5,0:00:08
20200720_165152_3608066570,44,-0.005805,-1.193714,11,33,0,1,0,5,0:00:08
20200720_165152_3608083236,44,0.050283,-1.19392,12,33,0,1,0,5,0:00:08
20200720_165152_3608116568,44,0.059915,-1.194195,12,33,0,1,0,5,0:00:08
20200720_165152_3608149900,45,0.078084,-1.194767,13,33,0,1,0,5,0:00:08
20200720_165152_3608183232,45,0.105725,-1.19499,13,33,0,1,0,5,0:00:08
20200720_165152_3608216564,45,0.12581,-1.194779,13,33,0,0,0,5,0:00:08
20200720_165152_3608233230,45,0.112176,-1.194859,14,33,0,0,0,5,0:00:08
20200720_165152_3608266562,45,0.10791,-1.194573,14,33,0,0,0,5,0:00:08
20200720_165152_3608283228,45,0.110504,-1.194041,14,33,0,0,0,5,0:00:08
20200720_165152_3608333226,45,0.10065,-1.194109,14,33,0,0,0,5,0:00:08
20200720_165152_3608349892,45,0.034286,-1.195248,14,33,0,0,0,5,0:00:08
20200720_165152_3608383224,46,0.021976,-1.19558,14,33,0,0,0,5,0:00:08
20200720_165152_3608416556,46,0.005486,-1.195917,14,33,0,0,0,5,0:00:08
20200720_165152_3608449888,46,-0.020075,-1.196484,13,33,0,0,0,5,0:00:08
20200720_165152_3608466554,46,-0.028177,-1.196421,13,33,0,0,0,5,0:00:08
20200720_165152_3608516552,46,-0.028188,-1.196352,13,33,0,0,0,5,0:00:08
20200720_165152_3608533218,46,0.002328,-1.194865,14,33,0,0,0,5,0:00:08
20200720_165152_3608566550,46,0.011458,-1.194561,14,33,0,0,0,5,0:00:08
20200720_165153_3608599882,46,0.03295,-1.193966,14,33,0,0,0,5,0:00:09
20200720_165153_3608633214,47,0.06086,-1.193171,14,33,0,1,0,5,0:00:09
20200720_165153_3608649880,47,0.073854,-1.192169,15,33,0,1,0,5,0:00:09
20200720_165153_3608699878,47,0.084239,-1.191489,15,33,0,1,0,5,0:00:09
20200720_165153_3608716544,47,0.097169,-1.189554,15,33,0,1,0,5,0:00:09
20200720_165153_3608749876,47,0.092878,-1.188822,15,33,0,1,0,5,0:00:09
20200720_165153_3608799874,47,0.059683,-1.187889,15,33,0,1,0,5,0:00:09
20200720_165153_3608833206,47,0.032954,-1.187031,15,33,0,1,0,5,0:00:09
20200720_165153_3608849872,48,0.005423,-1.186161,15,33,0,1,0,5,0:00:09
20200720_165153_3608866538,48,-0.000108,-1.185555,15,33,0,1,0,5,0:00:09
20200720_165153_3608916536,48,-0.004669,-1.18508,15,33,0,1,0,5,0:00:09
20200720_165153_3608933202,48,-0.007042,-1.183661,15,33,0,1,0,5,0:00:09
20200720_165153_3608966534,48,-0.006484,-1.182837,15,33,0,1,0,5,0:00:09
20200720_165153_3608999866,48,-0.023983,-1.181578,14,33,0,1,0,5,0:00:09
20200720_165153_3609016532,48,-0.049984,-1.181011,14,33,0,0,0,5,0:00:09
20200720_165153_3609049864,48,-0.053355,-1.180445,14,33,0,0,0,5,0:00:09
