Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_111457_308554324,52.85590744,-0.013663,0.198846,5,0,0,0,0,2,0:00:00
20200722_111457_308587656,52.8312645,-0.012566,0.201043,5,0,0,0,0,2,0:00:00
20200722_111457_308604322,52.80640411,-0.007034,0.203149,5,0,0,0,0,2,0:00:00
20200722_111457_308620988,52.79388809,-0.004426,0.204191,5,0,0,0,0,2,0:00:00
20200722_111457_308637654,52.78132248,-0.000313,0.205209,5,0,0,0,0,2,0:00:00
20200722_111457_308670986,52.76869583,0.001213,0.206205,5,0,0,0,0,2,0:00:00
20200722_111457_308704318,52.74330902,-0.001839,0.208105,4,0,0,0,0,2,0:00:00
20200722_111457_308737650,52.71774292,-0.009217,0.209787,4,0,0,0,0,2,0:00:00
20200722_111458_308770982,52.69194412,-0.012866,0.211555,4,0,0,0,0,2,0:00:01
20200722_111458_308804314,52.66599655,-0.016091,0.213169,4,0,0,0,0,2,0:00:01
20200722_111458_308820980,52.63985443,-0.01543,0.214754,4,0,0,0,0,2,0:00:01
20200722_111458_308870978,52.62672043,-0.015317,0.215515,4,0,0,0,0,2,0:00:01
20200722_111458_308887644,52.58706665,-0.009009,0.21781,4,0,0,0,0,2,0:00:01
20200722_111458_308920976,52.57378769,-0.008076,0.218491,4,0,0,0,0,2,0:00:01
20200722_111458_308937642,52.54710007,-0.00605,0.219841,4,0,0,0,0,2,0:00:01
20200722_111458_308987640,52.53369904,-0.005114,0.220516,4,0,0,0,0,2,0:00:01
20200722_111458_309020972,52.49327087,-0.005248,0.222433,4,0,0,0,0,2,0:00:01
20200722_111458_309037638,52.46614075,-0.001506,0.223686,4,0,0,0,0,2,0:00:01
20200722_111458_309070970,52.45249176,0.010276,0.22431,5,0,0,0,0,2,0:00:01
20200722_111458_309120968,52.42494965,0.050006,0.225878,5,0,0,0,0,2,0:00:01
20200722_111458_309137634,52.38354874,0.078273,0.227864,5,0,0,0,0,2,0:00:01
20200722_111458_309170966,52.36983871,0.074685,0.228253,5,0,0,0,0,2,0:00:01
20200722_111458_309187632,52.34235001,0.078651,0.228974,6,0,0,0,0,2,0:00:01
20200722_111458_309220964,52.32851791,0.087737,0.229386,6,0,0,0,0,2,0:00:01
20200722_111458_309254296,52.30054092,0.116355,0.23045,7,0,0,0,0,2,0:00:01
20200722_111458_309287628,52.27226639,0.127034,0.231434,8,0,0,0,0,2,0:00:01
20200722_111458_309304294,52.24399948,0.159595,0.232602,9,0,0,0,0,2,0:00:01
20200722_111458_309337626,52.2298317,0.190397,0.233363,9,0,0,0,0,2,0:00:01
20200722_111458_309370958,52.20161438,0.217436,0.234576,9,0,0,0,0,2,0:00:01
20200722_111458_309404290,52.17382431,0.17486,0.23465,9,0,0,0,0,2,0:00:01
20200722_111458_309437622,52.14597321,0.106675,0.234198,9,1,0,0,0,2,0:00:01
20200722_111458_309454288,52.11832809,0.018632,0.232979,8,2,0,0,0,2,0:00:01
20200722_111458_309487620,52.10474396,-0.025041,0.23211,8,4,0,0,0,2,0:00:01
20200722_111458_309520952,52.07811737,-0.121044,0.22926,7,6,0,0,0,2,0:00:01
20200722_111458_309554284,52.0528717,-0.173888,0.224751,6,8,0,0,0,2,0:00:01
20200722_111458_309570950,52.02902603,-0.177295,0.218187,6,10,0,0,0,2,0:00:01
20200722_111458_309620948,52.01786423,-0.188802,0.213535,6,10,0,0,0,2,0:00:01
20200722_111458_309637614,51.98725891,-0.143482,0.195825,6,12,0,0,0,2,0:00:01
20200722_111459_309654280,51.97810745,-0.115553,0.188672,6,12,0,0,0,2,0:00:02
20200722_111459_309704278,51.96947479,-0.087035,0.18109,6,12,0,0,0,2,0:00:02
20200722_111459_309720944,51.94692612,-0.00606,0.156352,6,12,0,0,0,2,0:00:02
